,title,label
33,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",['REAL']
34,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",['FAKE']
35,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,['FAKE']
36,First Ever Hindu Woman Elected into Congress,['REAL']
37,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,['REAL']
38,Ex-Assistant FBI Director: Clintons Are a Crime Family,['REAL']
39,Hillary Wants Aggressively Interventionist Foreign Policy,['REAL']
40,Both parties want to craft populist messages for 2016,['FAKE']
41,First Take: Wall Street bids goodbye to June hike,['REAL']
42,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,['FAKE']
43,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,['REAL']
44,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",['FAKE']
45,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,['REAL']
46,Obama makes the right call to tough it out in Afghanistan,['REAL']
47,Senate race rankings: Dems attack as GOP lays swing-state groundwork,['REAL']
48,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,['FAKE']
49,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,['REAL']
50,American politics has reached peak polarization,['FAKE']
51,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),['REAL']
52,"3 Effects of Substance Abuse on Individual, Family and Community",['REAL']
53,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,['REAL']
54,New Comment Features have been Added,['REAL']
55,World's newspapers react to 'Hebdo' attack,['FAKE']
56,Ying and Yang (the Gold and Silver Set-Up),['REAL']
57,"Closed primaries, 'warped' democracy?",['REAL']
58,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,['REAL']
59,Donald Trump: Hillary Clinton has 'caused tremendous death',['REAL']
60,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,['REAL']
61,Biden makes another surprise political stop,['REAL']
62,"Hillary Clinton's declining favorability numbers, in context",['REAL']
63,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,['REAL']
64,Hillary Clinton: The criminal investigation keeps moving forward,['REAL']
65,Rubio’s parting shot at Trump,['FAKE']
66,Loretta Lynch becomes first African-American woman AG.,['FAKE']
67,Why it's funny Republicans are upset with Facebook: Column,['FAKE']
68,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,['FAKE']
69,Is google and YouTube in the Hillary's purse?,['REAL']
70,Handicapping the Hispanic vote for 2016 GOPers,['FAKE']
71,Truth Will Out Radio: The Laconia Incident,['REAL']
72,GOP establishment nightmare? Ted Cruz vs. Donald Trump,['FAKE']
73,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,['FAKE']
74,Should I Get Botox?,['REAL']
75,Jeb Bush Picks Up Endorsement From Lindsey Graham,['REAL']
76,"2016 Republican race enters a new, volatile phase",['REAL']
77,"‘Hands up, don’t shoot’ was built on a lie",['REAL']
78,Lavrov and Kerry discuss Syrian settlement,['REAL']
79,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,['REAL']
80,Bernie Sanders' call for ouster of two convention co-chairs rejected,['REAL']
81,Five Reasons the New York Democratic Primary Felt Competitive,['REAL']
82,"To get around Congress, Obama turns to city halls",['REAL']
83,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,['REAL']
84,John Kerry: ISIS responsible for genocide,['REAL']
85,Mitt Romney's Re-Invention As Anti-Poverty Warrior,['REAL']
86,King: Fill the Supreme Court vacancy,['REAL']
87,"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",['REAL']
88,Obama’s speech in Selma was an answer to those who question his love for America,['FAKE']
89,Where Does Bernie Sanders Go From Here?,['REAL']
90,Exclusive: GOP campaigns plot revolt against RNC,['FAKE']
91,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,['REAL']
92,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],['REAL']
93,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",['REAL']
94,French police hunt two brothers accused of Charlie Hebdo terror attack,['FAKE']
95,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",['FAKE']
96,CNN: One voter can make a difference by voting repeatedly,['FAKE']
97,Give Social Security recipients a CEO-style raise,['REAL']
98,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",['FAKE']
99,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",['REAL']
100,How Ted Cruz Became Ted Cruz,['REAL']
101,Newly Approved GM Potatoes Have Potential to Silence Human Genes,['FAKE']
102,Accord reached after Sanders sues the DNC over suspended access to critical voter list,['FAKE']
103,Why the latest Patriot Act reform won’t be enough to rein in the NSA,['REAL']
104,"FBI expands probe of Clinton emails, launches independent classification review",['REAL']
105,Where is Gary Johnson?,['REAL']
106,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",['FAKE']
107,Nuclear weapons question,['REAL']
108,Kevin MacDonald celebrates Trump’s Amazing Victory,['REAL']
109,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",['REAL']
110,What happens if Clinton drops out?,['REAL']
111,Brothers ID'd as suicide bombers in Belgium,['REAL']
112,Glorifying Violence,['REAL']
113,Russia may run out of patience and respond to USA's rudeness,['REAL']
114,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,['REAL']
115,Don't blame all immigrants for San Francisco shooting,['REAL']
116,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,['FAKE']
117,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,['FAKE']
118,"Geo-Engineering Unlikely to Work, Conservation Group Says",['REAL']
119,3 Questions Ahead Of Tonight's Democratic Debate,['REAL']
120,Obama's terror strategy is failing: US must heed lessons of 9/11,['REAL']
121,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,['FAKE']
122,Selma 50 years on: John Lewis's recalls the march,['REAL']
123,“We Were Long Overdue A Presidential Assassination Anyway”,['REAL']
124,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",['FAKE']
125,Third-party presidential candidates fight for 15% in polls – and a spot in debates,['FAKE']
126,"Bush, Rubio and Kasich eye one another in the shadow of Trump",['FAKE']
127,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,['FAKE']
128,"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",['FAKE']
129,Monsieur Malbrough est Mort | New Eastern Outlook,['REAL']
130,Conspiracy theories swirl around the death of Antonin Scalia,['FAKE']
131,"What is one more election thread, ehhh?",['FAKE']
132,McCain: Trump doesn't understand Syria,['FAKE']
133,Trump manager says 'undercover voters' will deliver win in US election,['FAKE']
134,Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,['FAKE']
135,"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",['FAKE']
136,Suspect captured in ‘ambush-style’ killings of two Iowa cops,['REAL']
137,Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,['FAKE']
138,The next president can have a big impact on climate policy — even without Congress,['REAL']
139,Look at the SHOCKING Number of Kids Born To Illegals in 2014,['FAKE']
140,Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,['REAL']
141,Justice Department Staffers Monitor Polls on Election Day,['REAL']
142,Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,['REAL']
143,Poll: 71 percent of Dems think Clinton should keep running even if indicted,['REAL']
144,Trumped!,['REAL']
145,Is the Iran deal unraveling? Think again. | Institution,['REAL']
146,Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,['FAKE']
147,"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",['REAL']
148,The FBI intervenes in the 2016 election,['FAKE']
149,"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",['REAL']
150,Shutdown clash to return in force by December,['REAL']
151,Classless Obama Refuses Photo-Op of White House Welcome with Trump,['FAKE']
152,Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,['REAL']
153,Stuff in the News That No One Is Talking About Because of the Election,['FAKE']
154,Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,['FAKE']
155,Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,['FAKE']
156,Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,['FAKE']
157,How Clinton plans to stop Sanders' momentum,['REAL']
158,Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,['REAL']
159,Shi’ite Militias Join Iraq’s Mosul Attack,['REAL']
160,‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,['FAKE']
161,Christianity under attack: US must do more to promote religious freedom,['FAKE']
162,U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,['REAL']
163,VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,['FAKE']
164,"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",['FAKE']
165,Are Tensions With Russia Even Real?,['REAL']
166,Iran agrees to nuclear restrictions in framework deal with world powers,['REAL']
167,Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,['REAL']
168,Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,['FAKE']
169,"Bernie Sanders’s vast universe of donors, mapped",['REAL']
170,"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",['REAL']
171,Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,['REAL']
172,Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,['REAL']
173,So That Happened: Did Obama Forget That The GOP Runs Congress?,['REAL']
174,"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",['FAKE']
175,Should Christians Celebrate Halloween?,['REAL']
176,Sunday in Charleston: Worship at Emanuel AME,['REAL']
177,Only Making Matters Worse in Syria,['FAKE']
178,"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",['REAL']
179,BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,['FAKE']
180,Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,['FAKE']
181,Scott Walker Confronts Doubts About His Grasp of Foreign Policy,['REAL']
182,Iran carries out new ballistic missile test,['FAKE']
183,Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,['FAKE']
184,Why Joe Biden can't get no respect,['REAL']
185,"Come on, Paul Ryan must be running in 2016, right? Right?",['FAKE']
186,Why Bernie Sanders needs to start winning big states — big,['REAL']
187,Leaked: What’s in Obama’s trade deal,['REAL']
188,"Michael Moore admits no women ever melted the ice caps, bombs American history",['FAKE']
189,Someone Isn't Telling The Truth About Freddie Gray's Death,['REAL']
190,Prison employee pleaded not guilty to aiding escape of two murderers,['FAKE']
191,Culchie Tries To Explain Rules Of 25 One More Time,['REAL']
192,Election Day: No Legal Pot In Ohio; Democrats Lose In The South,['FAKE']
193,President Trump: A colossal failure for democracy and our terrifying new reality,['FAKE']
194,Who had to go :-),['REAL']
195,Raqqa/Mosul: Politicians Fiddle As Middle East Burns,['REAL']
196,Chris Christie losing home-state donors as Jeb Bush makes inroads,['REAL']
197,Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,['REAL']
198,Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,['FAKE']
199,Can Sanders rally supporters around Clinton after DNC email leak?,['REAL']
200,'Historic' climate deal in sight as nations parse final text,['REAL']
201,We Live In A Time Where Each Individual Has Immense Power,['REAL']
202,"Trump slams 'corrupt' media, as more women make sexual assault claims",['REAL']
203,Only Demented Imbeciles Want A Killary Reign Of Terror,['FAKE']
204,This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,['REAL']
205,Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,['REAL']
206,The 5 unspoken rules for covering Hillary Clinton,['REAL']
207,"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",['REAL']
208,Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,['FAKE']
209,Jubilee Year of Mercy ends on November 20. Following Judgment?,['REAL']
210,Iraq launches operation against ISIS in Anbar province,['REAL']
211,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,['FAKE']
212,Justices Kennedy and Scalia and their divide on gay rights,['REAL']
213,Justice Clarence Thomas Describes Washington DC As “Broken”,['REAL']
214,"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",['FAKE']
215,Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',['REAL']
216,"John Kasich: He’s Conservative, but at Least He’s Sane",['FAKE']
217,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,['FAKE']
218,Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,['FAKE']
219,8 classic football banners of our time,['REAL']
220,Tweetwave,['REAL']
221,Trump’s Gettysburg Address against the New World Order,['FAKE']
222,Debate Goals for the Democratic Candidates,['REAL']
223,'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,['FAKE']
224,A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,['REAL']
225,Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,['REAL']
226,Dems sue GOP over Trump's 'rigged' complaints,['FAKE']
227,US Airstrikes on Iraqi Army Slowing Advance on Mosul,['REAL']
228,Iran letter blowback startles GOP,['FAKE']
229,"Clinton Camp Desperate, Russia Trains for WWIII",['FAKE']
230,Donald Trump's GOP civil war,['FAKE']
231,Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,['FAKE']
232,Laura Bush hints she'd rather see Hillary as president,['REAL']
233,"Scott Walker, Rick Perry show limits of super PACs",['REAL']
234,If Catcalls Were Politically Correct…,['REAL']
235,Why Hillary Won't Unleash WWIII    : Information,['REAL']
236,Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,['REAL']
237,"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",['REAL']
238,Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',['FAKE']
239,"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",['FAKE']
240,"MH370: If debris is part of missing plane, what's next?",['REAL']
241,GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,['FAKE']
242,Israel stole classified US information and used it to help congressional Republicans,['FAKE']
243,"""America has a simple ideology"": how one of Russia's top US experts explains America",['FAKE']
244,Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,['FAKE']
245,"Chaos on House floor as Dems, Republicans clash over LGBT proposal",['FAKE']
246,"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",['FAKE']
247,"Clinton, Sanders accuse Trump of inciting violence",['REAL']
248,Memo to the Next Administration: Defense Spending Must Be For Actual Defense,['REAL']
249,"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",['REAL']
250,Trump mulls alternative options for making Mexico finance 'the wall',['FAKE']
251,The circus of liars - America's three rings of evil clowns,['REAL']
252,"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",['REAL']
253,Trump Has Forever Changed American Politics,['FAKE']
254,Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,['FAKE']
255,"The role of the US and Nato in EU relations with China, by Manlio Dinucci",['REAL']
256,The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,['REAL']
257,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",['REAL']
258,Trump The President: What Does That Mean For The World? - CounterCurrents.org,['FAKE']
259,"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",['REAL']
260,"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",['FAKE']
261,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,['FAKE']
262,FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,['REAL']
263,Repudiating the Media,['REAL']
264,Buchanan Smashes CNN Shill,['FAKE']
265,The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,['REAL']
266,America After Election 2016: the Gullible and the Shattered - David Kerans,['FAKE']
267,Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),['REAL']
268,‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,['REAL']
269,What do Americans really think of election coverage?,['REAL']
270,Exclusive: Siege of Islamabad,['FAKE']
271,The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,['REAL']
272,Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,['FAKE']
273,"Yes, Ted Cruz could win",['FAKE']
274,"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",['REAL']
275,Trump advisors try to pivot not fishtail,['FAKE']
276,"Christians drop, 'nones' soar in new religion portrait",['REAL']
277,Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,['REAL']
278,Inside the Deliberations of a Hillary Clinton Campaign Launch,['REAL']
279,American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,['REAL']
280,Clinton condemns Trump over Chicago violence,['FAKE']
281,"In France, a growing debate over why some speech is protected and some isn’t",['FAKE']
282,President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,['REAL']
283,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,['REAL']
284,Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,['REAL']
285,Representative Government or Thugocracy?,['FAKE']
286,Gay rights and religious liberty: Can Americans have both?,['REAL']
287,"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",['REAL']
288,“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,['REAL']
289,Obama Presses Putin to Strike Ukraine Peace Deal,['FAKE']
290,"Trumka: Disappointment with Obama, a warning for Hillary",['REAL']
291,Pro-Palestinian Propaganda Lowering Standards of Truth in America,['REAL']
292,Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,['FAKE']
293,Lifting weights could ward off dementia and make you smarter,['REAL']
294,People excited about Christmas adverts told about rest of human culture,['REAL']
295,State Department warns of possible terror attack in South Africa,['FAKE']
296,Who Lost Iraq?,['REAL']
297,Pope Francis implores Congress to accept immigrants as their own,['FAKE']
298,"Poll: Trump gains in Iowa, still dominates in New Hampshire",['FAKE']
299,Rand Paul Goes on Senate Floor to Protest NSA Spying Measure,['REAL']
300,China Airport Security Robot Gives Electroshocks,['REAL']
301,Obama Details His Disappointment With Netanyahu In First Post-Election Comments,['REAL']
302,"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",['REAL']
303,Reality Check: First Clinton v Trump presidential debate,['FAKE']
304,Doomsday Election,['REAL']
305,John Kasich’s Advice for Women to Prevent Sexual Assault: Avoid Parties “Where There’s a Lot of Alcohol”,['REAL']
306,The system set Boehner up for failure,['REAL']
307,Gay marriage victory at Supreme Court triggering backlash,['FAKE']
308,Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,['FAKE']
309,McCarthy drops out of speaker race as House asks: Who wants this job? (+video),['REAL']
310,"Democrats, Republicans in tight races as Iowans prepare to caucus",['FAKE']
311,Iran: Why the best outcome now is to keep negotiating without reaching a deal,['REAL']
312,NAZI Flying Saucers & A Permanent Base in Antarctica,['REAL']
313,BREAKING: Man Brags on Facebook of Voting 3 Times… Then Reveals How He Did It,['FAKE']
314,Furious parents slam ‘damaging’ BBC sex change show aimed at six-year-olds,['FAKE']
315,Trump Family Say Trump Brand Has NOT Been Damaged,['FAKE']
316,Rand Paul is flatlining,['REAL']
317,Nurse Chris Christie Quarantined For Ebola Goes After Governor On Vaccines,['FAKE']
318,Can Paul Ryan and Donald Trump coexist within the Republican Party?,['REAL']
319,"Cruz copying me on border wall, Trump says",['REAL']
320,John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),['REAL']
321,The Rise of Mandatory Vaccinations Means the End of Medical Freedom,['REAL']
322,Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],['REAL']
323,Jeb Bush loses TV ad edge to Marco Rubio,['REAL']
324,"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",['REAL']
325,"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides",['REAL']
326,The Supreme Court cannot hide on Obamacare,['FAKE']
327,BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,['FAKE']
328,"Poll: Hillary Clinton, Bernie Sanders both top Trump",['FAKE']
329,Donald Trump revokes Washington Post press access (+video),['REAL']
330,The Real Reason Obamacare is Coming Unglued,['REAL']
331,How Jeb Bush can avoid being the Jon Huntsman of 2016,['REAL']
332,Revived Clinton Email Scandal Killed By A Slew Of New Facts In Record Time,['FAKE']
333,Iraq’s Skies Darken as Islamic State Torches Oil,['REAL']
334,New Yorkers fight to overturn ballot selfie ban,['REAL']
335,Poll finds Ben Carson knocks Donald Trump from top spot nationally,['FAKE']
336,“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,['REAL']
337,George W. Bush’s Ethics Lawyer Files Complaint Against FBI Director James Comey,['FAKE']
338,Netflix Ceo: TV’s Future includes Hallucination Pills,['REAL']
339,Ernst to Trump: Stop with the name-calling,['REAL']
340,Comment on Elections 2012-16 by BeamMeUpScotty,['REAL']
341,After Debate Duke Says USA becoming Banana Republic,['REAL']
342,"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",['REAL']
343,White House: GOP Has Failed to Put ‘Points on the Board’,['FAKE']
344,The Daily 202: The presidency is Hillary Clinton’s to lose. Here are 12 ways she could lose it.,['REAL']
345,"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",['REAL']
346,Podesta wiki leaks...We prefer Muslims over Christians....,['REAL']
347,Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,['FAKE']
348,Clinton doubles down on disputed claim FBI found her email remarks 'truthful',['REAL']
349,How the Clintons’ Haiti development plans succeed — and disappoint,['REAL']
350,Of Course Facebook Is Biased. Its Real Problem Is That It Won’t Admit It.,['FAKE']
351,Tax Calculator: The federal debt,['REAL']
352,Trump and advisers remain split on how far to move toward the middle,['REAL']
353,Clinton in the final stretch: winning over anti-Trump contingent may be best play,['FAKE']
354,Australian taxpayers charged over $88 million for donation to corrupt Clinton Foundation,['FAKE']
355,Vatican Ends Scrutiny Of U.S. Nuns,['REAL']
356,How Clinton’s email scandal took root,['REAL']
357,Jews ‘blamed for Holocaust’ at House of Lords event,['REAL']
358,The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries,['REAL']
359,"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True",['REAL']
360,Russia successfully tests its first-ever hypersonic weapon,['REAL']
361,The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,['REAL']
362,AP FACT CHECK: The Republican debaters and the facts,['REAL']
363,Why the drop in income inequality?,['REAL']
364,Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,['REAL']
365,Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,['REAL']
366,Manhunt for escaped killers expands to Vermont,['FAKE']
367,The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,['REAL']
368,To the Youth a Day After the Election: Another World Is Possible,['REAL']
369,Physical Gold Demand and Fear,['REAL']
370,Protester charged with shooting officers in Ferguson,['FAKE']
371,Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,['FAKE']
372,It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.,['REAL']
373,"GOP braces for Trump loss, roiled by refusal to accept election results",['FAKE']
374,If You Have One Of These Old VHS Tapes It May Be Worth Over $1000,['REAL']
375,Obama: Trump is ‘unfit to serve as president’,['FAKE']
376,Pope Francis met Kim Davis: why it matters in fight over religious freedom (+video),['FAKE']
377,Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,['REAL']
378,David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,['REAL']
